,,,,,,
Trail Name,Difficulty,Type,Distance,Parking,,
Rush,Black,Jumpy,3.1,Andy Ballard Arena 1651 E Highland Dr Draper UT,,
WOW,Blue,Flowy,8.8,Pine Canyon Road Midway UT,,
The Crest,Blue,Flowy,26,Bloods Lake Trail Head BCC,,
Eric’s Trail,Blue,Flowy,5.9,5518 W Lake Ridge Cir Herriman UT,,
Hardlick,Black,Technical,4.1,5518 W Lake Ridge Cir Herriman UT,,
Levitate,Black,Jumpy,1.2,Brookside Dr Draper UT,,
Squaw Peak Downhill,Black,Technical,0.6,Squaw Peak Lookout Point UT,,
Bobsled,Black,Flowy,5.1,1401 Popperton Park Way Salt Lake City UT,,
Maple Hallow DH,Black,Technical ,1.9,Maple Hallow Trailhead Park Draper Utah,,
Jacobs Ladder,Black,Technical,2.4,14400 S Upper Corner Canyon Road Draper UT,,
Temple Quarry,Blue,Technical,3.2,4500-4760 E Little Cottonwood Canyon Road Sandy UT,,
The Drop Out,Blue,Flowy,2.6,2740 Rasmussen Road Park City UT,,
Yellow Fork,Blue,Flowy,1.9,S Rose Canyon Road Herriman UT,,
Big Thunder,Black,Technical,0.4,E Golden Eagle Road Eagle Mountain UT,,
Britney Spears,Black,Jumpy,0.5,E Golden Eagle Road Eagle Mountain UT,,
Ghost Falls,Blue,Flowy,0.8,Andy Ballard Arena 1651 E Highland Dr Draper UT,,
Canyon Hallow,Green,Flowy,1.9,Andy Ballard Arena 1651 E Highland Dr Draper UT,,
Rattlesnake Gultch,Black,Technical,0.7,E Millcreek Canyon Road Salt Lake City UT,,
Pork U Pine,Green,Flowy,0.9,14400 S Upper Corner Canyon Road Draper UT,,
Ann’s East,Green,Flowy,2.2,Andy Ballard Arena 1651 E Highland Dr Draper UT,,
Woods Hallow,Green,Flowy,1.7,Brookside Dr Draper UT,,
Rattle and Hum,Green,Flowy,1.5,Brookside Dr Draper UT,,
Vertigo,Blue,Jumpy,1.5,Brookside Dr Draper UT,,
Archies Loop,Blue,Flowy,1.5,Sundance Mountain Resort,,
Tidal Wave,Blue,Jumpy,2.2,Deer Vally Resort,,
Holy Roller,Green,Flowy,4.1,Deer Vally Resort,,
Tsunami,Black,Jumpy,1.2,Deer Vally Resort,,
Twist and Shout,Black,Jumpy,1,Deer Vally Resort,,
